Start Time,Net Sales,Checks,Check Avg,Labor Hrs,Labor $,Labor $/Net
6/6/24 04:00 PM,0,0,0,1,24.5,0.00%
6/6/24 04:15 PM,0,0,0,1.09,27,0.00%
6/6/24 04:30 PM,0,0,0,1.47,37.27,0.00%
6/6/24 04:45 PM,0,0,0,1.59,40.36,0.00%
6/6/24 05:00 PM,0,0,0,1.75,44.75,0.00%
6/6/24 05:15 PM,232,2,116,1.83,44.75,19.30%
6/6/24 05:30 PM,544,3,181.33,2,44.75,8.20%
6/6/24 05:45 PM,160,1,160,2,44.75,28.00%
6/6/24 06:00 PM,486,4,121.5,2,44.75,9.20%
6/6/24 06:15 PM,640.6,5,128.12,2,44.75,7.00%
6/6/24 06:30 PM,257,2,128.5,2,44.75,17.40%
6/6/24 06:45 PM,257.25,2,128.62,2,44.75,17.40%
6/6/24 07:00 PM,681,4,170.25,2,44.75,6.60%
6/6/24 07:15 PM,322,2,161,2,44.75,13.90%
6/6/24 07:30 PM,296,3,98.67,2,44.75,15.10%
6/6/24 07:45 PM,515,3,171.67,2,44.75,8.70%
6/6/24 08:00 PM,0,0,0,2,45.05,0.00%
6/6/24 08:15 PM,194,4,48.5,2,47.37,24.40%
6/6/24 08:30 PM,0,0,0,2,47.37,0.00%
6/6/24 08:45 PM,130,1,130,2,47.37,36.40%
6/6/24 09:00 PM,0,0,0,2,47.37,0.00%
6/6/24 09:15 PM,0,0,0,2,47.37,0.00%
6/6/24 09:30 PM,0,0,0,2,47.37,0.00%
6/6/24 09:45 PM,0,0,0,1.88,44.46,0.00%
6/6/24 10:00 PM,0,0,0,1.6,37.41,0.00%
6/6/24 10:15 PM,0,0,0,0.86,17.5,0.00%
6/6/24 10:30 PM,0,0,0,0.45,6.12,0.00%
6/6/24 10:45 PM,0,0,0,0.25,0,0.00%
6/7/24 04:00 PM,0,0,0,1.75,37.5,0.00%
6/7/24 04:15 PM,0,0,0,1.82,39.51,0.00%
6/7/24 04:30 PM,0,0,0,2.54,58.84,0.00%
6/7/24 04:45 PM,0,0,0,2.75,64.5,0.00%
6/7/24 05:00 PM,0,0,0,2.75,64.5,0.00%
6/7/24 05:15 PM,90,2,45,2.75,64.5,71.70%
6/7/24 05:30 PM,778,6,129.67,2.75,64.5,8.30%
6/7/24 05:45 PM,419,4,104.75,2.75,64.5,15.40%
6/7/24 06:00 PM,69.6,2,34.8,2.75,64.5,92.70%
6/7/24 06:15 PM,561,3,187,2.75,64.5,11.50%
6/7/24 06:30 PM,520,5,104,2.75,64.5,12.40%
6/7/24 06:45 PM,445,3,148.33,2.75,64.5,14.50%
6/7/24 07:00 PM,574,4,143.5,2.75,64.5,11.20%
6/7/24 07:15 PM,543.5,4,135.88,2.75,64.5,11.90%
6/7/24 07:30 PM,522,4,130.5,2.61,61.08,11.70%
6/7/24 07:45 PM,191.7,2,95.85,2.5,58.5,30.50%
6/7/24 08:00 PM,157,1,157,2.5,58.5,37.30%
6/7/24 08:15 PM,150,2,75,2.5,58.5,39.00%
6/7/24 08:30 PM,471.8,3,157.27,2.5,58.5,12.40%
6/7/24 08:45 PM,129,1,129,2.5,58.5,45.30%
6/7/24 09:00 PM,0,0,0,2.5,58.5,0.00%
6/7/24 09:15 PM,129,2,64.5,2.5,58.5,45.30%
6/7/24 09:30 PM,0,0,0,2.25,51.78,0.00%
6/7/24 09:45 PM,0,0,0,1.93,43.05,0.00%
6/7/24 10:00 PM,0,0,0,1.71,37.05,0.00%
6/7/24 10:15 PM,8.25,2,4.12,1.33,28.24,342.30%
6/7/24 10:30 PM,0,0,0,0.5,12.25,0.00%
6/7/24 10:45 PM,0,0,0,0.32,7.29,0.00%
6/8/24 04:00 PM,0,0,0,2,44,0.00%
6/8/24 04:15 PM,0,0,0,2.09,46.35,0.00%
6/8/24 04:30 PM,0,0,0,2.72,63.49,0.00%
6/8/24 04:45 PM,0,0,0,2.61,60.56,0.00%
6/8/24 05:00 PM,99.25,2,49.62,2.5,57.75,58.20%
6/8/24 05:15 PM,694.5,5,138.9,2.5,57.75,8.30%
6/8/24 05:30 PM,181,2,90.5,2.5,57.75,31.90%
6/8/24 05:45 PM,434,4,108.5,2.68,62.73,14.50%
6/8/24 06:00 PM,128,1,128,2.75,64.5,50.40%
6/8/24 06:15 PM,269,2,134.5,2.75,64.5,24.00%
6/8/24 06:30 PM,501,4,125.25,2.75,64.5,12.90%
6/8/24 06:45 PM,480,4,120,2.75,64.5,13.40%
6/8/24 07:00 PM,294,3,98,2.75,64.5,21.90%
6/8/24 07:15 PM,225,1,225,2.75,64.5,28.70%
6/8/24 07:30 PM,559,4,139.75,2.75,64.5,11.50%
6/8/24 07:45 PM,359,2,179.5,2.63,61.16,17.00%
6/8/24 08:00 PM,0,0,0,2.5,57.75,0.00%
6/8/24 08:15 PM,100,1,100,2.5,57.75,57.80%
6/8/24 08:30 PM,0,0,0,2.5,57.75,0.00%
6/8/24 08:45 PM,0,0,0,2.5,57.75,0.00%
6/8/24 09:00 PM,188,2,94,2.5,57.75,30.70%
6/8/24 09:15 PM,0,0,0,2.5,57.75,0.00%
6/8/24 09:30 PM,0,0,0,2.5,57.75,0.00%
